,sample1,sample2,sample3
AT2G39990,5005.059115,4875.387774,5350.117157
AT2G40000,502.4260109,359.0109667,1017.440987
AT2G40004,1.066721891,0,0
AT2G40008,749.9054897,615.3127592,665.5881958
AT2G40010,1008.052187,837.6922556,902.1114607
AT2G40020,614.4318095,497.527009,588.3760556
AT2G40030,1548.880186,1701.768519,1798.358708
AT2G40050,0,0.942286002,0
AT2G40060,6270.191278,6346.296222,7061.490036
AT2G40070,2512.130054,3062.429506,3187.199863
AT2G40080,818.1756907,754.7710875,2136.528335
AT2G09110,0,0,0
AT2G40085,537.6278333,357.1263947,556.1228831
AT2G40090,562.1624368,591.7556092,586.4213179
AT2G40095,180.2759997,237.4560725,182.7679774
AT2G40100,2043.839144,1360.660987,1422.071696
AT2G40110,684.8354543,459.8355689,559.0549897
AT2G40113,4.266887566,5.653716011,0.977368863
AT2G40116,25.60132539,18.84572004,11.72842636
AT2G40120,203.7438813,248.7635045,128.0353211
AT2G09115,4.266887566,3.769144007,0
AT2G40130,917.3808266,1126.974058,820.0124762
AT2G40140,1143.525868,863.1339777,1373.203253
AT2G40150,166.4086151,197.8800604,175.9263954
AT2G40160,180.2759997,236.5137865,180.8132397
AT2G40165,167.475337,200.7069184,166.1527067
AT2G40170,0,0,0
AT2G40180,43.73559755,76.32516615,52.77791861
AT2G40190,941.9154301,934.7477138,843.4693289
AT2G40200,2188.913321,2253.00583,2789.410735
AT2G40205,2095.041795,2199.295528,2770.840727
AT2G40210,0,0,0
AT2G40220,0,0,0
AT2G09125,0,2.826858006,0
AT2G40230,612.2983657,701.0607854,464.25021
AT2G40240,225.0783191,226.1486404,309.8259296
AT2G40250,67.20347916,34.86458207,65.48371383
AT2G40260,49.06920701,49.9411581,43.00422998
AT2G09130,0,0,0
AT2G09135,0,0,0
AT2G40270,631.4993597,485.277291,519.9602352
AT2G09140,0,0,0
AT2G40280,611.2316438,686.9264953,497.4807513
AT2G40290,3896.735069,4114.020684,4599.49787
